Title: NACA0018
Thickness to Chord Ratio: 0.18
Zero Lift AOA (deg): 0
Reverse Camber Direction: 0

Reynolds Number: 1.00e4 
BV Dyn. Stall Model - Positive Stall AOA (deg): 1
BV Dyn. Stall Model - Negative Stall AOA (deg): -1
LB Dyn. Stall Model - Lift Coeff. Slope at Zero Lift AOA (per radian): 3.478
LB Dyn. Stall Model - Positive Critical Lift Coeff.: 1
LB Dyn. Stall Model - Negative Critical Lift Coeff.: -1
AOA (deg) CL CD Cm25
-180 0 0 0
-175 0.66 0.055 0
-170 0.85 0.14 0
-165 0.68 0.23 0
-160 0.635 0.32 0
-155 0.67 0.42 0
-150 0.77 0.575 0
-145 0.9 0.755 0
-140 0.98 0.925 0
-135 0.93 1.085 0
-130 0.85 1.225 0
-125 0.76 1.35 0
-120 0.67 1.465 0
-115 0.575 1.555 0
-110 0.45 1.635 0
-105 0.32 1.7 0
-100 0.185 1.75 0
-95 0.05 1.78 0
-90 -0.09 1.8 0
-85 -0.23 1.8 0
-80 -0.365 1.78 0
-75 -0.5 1.735 0
-70 -0.63 1.665 0
-65 -0.76 1.575 0
-60 -0.875 1.47 0
-55 -0.955 1.345 0
-50 -1.02 1.215 0
-45 -1.05 1.075 0
-40 -1.035 0.92 0
-35 -0.98 0.745 0
-30 -0.855 0.57 0
-25 -0.5775 0.405 0
-22 -0.4172 0.329 0
-20 -0.3111 0.282 0
-18 -0.207 0.238 0
-16 -0.1051 0.196 0
-14 -0.0085 0.158 0
-12 0.0767 0.123 0
-11 0.1125 0.08 0
-10 0.1423 0.0574 0
-9 0.1584 0.0525 0
-8 0.1501 0.0489 0
-7 0.1182 0.0463 0
-6 0.0839 0.0443 0
-5 0.0577 0.0425 0
-4 0.0368 0.041 0
-3 0.0233 0.0399 0
-2 0.0154 0.0391 0
-1 0.0045 0.0387 0
0 0 0.0385 0
1 -0.0045 0.0387 0
2 -0.0154 0.0391 0
3 -0.0233 0.0399 0
4 -0.0368 0.041 0
5 -0.0577 0.0425 0
6 -0.0839 0.0443 0
7 -0.1182 0.0463 0
8 -0.1501 0.0489 0
9 -0.1584 0.0525 0
10 -0.1423 0.0574 0
11 -0.1125 0.08 0
12 -0.0767 0.123 0
14 0.0085 0.158 0
16 0.1051 0.196 0
18 0.207 0.238 0
20 0.3111 0.282 0
22 0.4172 0.329 0
25 0.5775 0.405 0
30 0.855 0.57 0
35 0.98 0.745 0
40 1.035 0.92 0
45 1.05 1.075 0
50 1.02 1.215 0
55 0.955 1.345 0
60 0.875 1.47 0
65 0.76 1.575 0
70 0.63 1.665 0
75 0.5 1.735 0
80 0.365 1.78 0
85 0.23 1.8 0
90 0.09 1.8 0
95 -0.05 1.78 0
100 -0.185 1.75 0
105 -0.32 1.7 0
110 -0.45 1.635 0
115 -0.575 1.555 0
120 -0.67 1.465 0
125 -0.76 1.35 0
130 -0.85 1.225 0
135 -0.93 1.085 0
140 -0.98 0.925 0
145 -0.9 0.755 0
150 -0.77 0.575 0
155 -0.67 0.42 0
160 -0.635 0.32 0
165 -0.68 0.23 0
170 -0.85 0.14 0
175 -0.66 0.055 0
180 0 0 0

Reynolds Number: 2.00e4 
BV Dyn. Stall Model - Positive Stall AOA (deg): 5
BV Dyn. Stall Model - Negative Stall AOA (deg): -5
LB Dyn. Stall Model - Lift Coeff. Slope at Zero Lift AOA (per radian): 3.478
LB Dyn. Stall Model - Positive Critical Lift Coeff.: 0.1788
LB Dyn. Stall Model - Negative Critical Lift Coeff.: -0.1788
AOA (deg) CL CD Cm25
-180 0 0.025 0
-175 0.66 0.055 0
-170 0.85 0.14 0
-165 0.68 0.23 0
-160 0.635 0.32 0
-155 0.67 0.42 0
-150 0.77 0.575 0
-145 0.9 0.755 0
-140 0.98 0.925 0
-135 0.93 1.085 0
-130 0.85 1.225 0
-125 0.76 1.35 0
-120 0.67 1.465 0
-115 0.575 1.555 0
-110 0.45 1.635 0
-105 0.32 1.7 0
-100 0.185 1.75 0
-95 0.05 1.78 0
-90 -0.09 1.8 0
-85 -0.23 1.8 0
-80 -0.365 1.78 0
-75 -0.5 1.735 0
-70 -0.63 1.665 0
-65 -0.76 1.575 0
-60 -0.875 1.47 0
-55 -0.955 1.345 0
-50 -1.02 1.21 0
-45 -1.05 1.075 0
-40 -1.035 0.92 0
-35 -0.98 0.745 0
-30 -0.855 0.57 0
-25 -0.5798 0.405 0
-22 -0.4198 0.329 0
-20 -0.3151 0.282 0
-18 -0.212 0.238 0
-16 -0.1114 0.196 0
-14 -0.0172 0.158 0
-12 0.0602 0.123 0
-10 0.1003 0.063 0
-9 0.0682 0.0396 0
-8 -0.0214 0.0376 0
-7 -0.1161 0.0358 0
-6 -0.1582 0.0339 0
-5 -0.1788 0.0323 0
-4 -0.1788 0.031 0
-3 -0.155 0.0299 0
-2 -0.1135 0.0292 0
-1 -0.0607 0.0288 0
0 0 0.0286 0
1 0.0607 0.0288 0
2 0.1135 0.0292 0
3 0.155 0.0299 0
4 0.1788 0.031 0
5 0.1788 0.0323 0
6 0.1582 0.0339 0
7 0.1161 0.0358 0
8 0.0214 0.0376 0
9 -0.0682 0.0396 0
10 -0.1003 0.063 0
12 -0.0602 0.123 0
14 0.0172 0.158 0
16 0.1114 0.196 0
18 0.212 0.238 0
20 0.3151 0.282 0
22 0.4198 0.329 0
25 0.5798 0.405 0
30 0.855 0.57 0
35 0.98 0.745 0
40 1.035 0.92 0
45 1.05 1.075 0
50 1.02 1.21 0
55 0.955 1.345 0
60 0.875 1.47 0
65 0.76 1.575 0
70 0.63 1.665 0
75 0.5 1.735 0
80 0.365 1.78 0
85 0.23 1.8 0
90 0.09 1.8 0
95 -0.05 1.78 0
100 -0.185 1.75 0
105 -0.32 1.7 0
110 -0.45 1.635 0
115 -0.575 1.555 0
120 -0.67 1.465 0
125 -0.76 1.35 0
130 -0.85 1.225 0
135 -0.93 1.085 0
140 -0.98 0.925 0
145 -0.9 0.755 0
150 -0.77 0.575 0
155 -0.67 0.42 0
160 -0.635 0.32 0
165 -0.68 0.23 0
170 -0.85 0.14 0
175 -0.66 0.055 0
180 0 0.025 0

Reynolds Number: 4.00e4 
BV Dyn. Stall Model - Positive Stall AOA (deg): 7
BV Dyn. Stall Model - Negative Stall AOA (deg): -7
LB Dyn. Stall Model - Lift Coeff. Slope at Zero Lift AOA (per radian): 5.363
LB Dyn. Stall Model - Positive Critical Lift Coeff.: 0.4758
LB Dyn. Stall Model - Negative Critical Lift Coeff.: -0.4758
AOA (deg) CL CD Cm25
-180 0 0.025 0
-175 0.66 0.055 0
-170 0.85 0.14 0
-165 0.68 0.23 0
-160 0.635 0.32 0
-155 0.67 0.42 0
-150 0.77 0.575 0
-145 0.9 0.755 0
-140 0.98 0.925 0
-135 0.93 1.085 0
-130 0.85 1.225 0
-125 0.76 1.35 0
-120 0.67 1.465 0
-115 0.575 1.555 0
-110 0.45 1.635 0
-105 0.32 1.7 0
-100 0.185 1.75 0
-95 0.05 1.78 0
-90 -0.09 1.8 0
-85 -0.23 1.8 0
-80 -0.365 1.78 0
-75 -0.5 1.735 0
-70 -0.63 1.665 0
-65 -0.76 1.575 0
-60 -0.875 1.47 0
-55 -0.955 1.345 0
-50 -1.02 1.215 0
-45 -1.05 1.075 0
-40 -1.035 0.92 0
-35 -0.98 0.745 0
-30 -0.855 0.57 0
-25 -0.584 0.405 0
-22 -0.4265 0.329 0
-20 -0.3236 0.282 0
-18 -0.2228 0.238 0
-16 -0.1287 0.196 0
-14 -0.0489 0.158 0
-12 -0.0139 0.123 0
-10 -0.2108 0.062 0
-9 -0.3544 0.0327 0
-8 -0.4428 0.0303 0
-7 -0.4758 0.0282 0
-6 -0.4573 0.0263 0
-5 -0.4117 0.0247 0
-4 -0.3495 0.0235 0
-3 -0.2688 0.0225 0
-2 -0.1833 0.0219 0
-1 -0.0936 0.0215 0
0 0 0.0214 0
1 0.0936 0.0215 0
2 0.1833 0.0219 0
3 0.2688 0.0225 0
4 0.3495 0.0235 0
5 0.4117 0.0247 0
6 0.4573 0.0263 0
7 0.4758 0.0282 0
8 0.4428 0.0303 0
9 0.3544 0.0327 0
10 0.2108 0.062 0
12 0.0139 0.123 0
14 0.0489 0.158 0
16 0.1287 0.196 0
18 0.2228 0.238 0
20 0.3236 0.282 0
22 0.4265 0.329 0
25 0.584 0.405 0
30 0.855 0.57 0
35 0.98 0.745 0
40 1.035 0.92 0
45 1.05 1.075 0
50 1.02 1.215 0
55 0.955 1.345 0
60 0.875 1.47 0
65 0.76 1.575 0
70 0.63 1.665 0
75 0.5 1.735 0
80 0.365 1.78 0
85 0.23 1.8 0
90 0.09 1.8 0
95 -0.05 1.78 0
100 -0.185 1.75 0
105 -0.32 1.7 0
110 -0.45 1.635 0
115 -0.575 1.555 0
120 -0.67 1.465 0
125 -0.76 1.35 0
130 -0.85 1.225 0
135 -0.93 1.085 0
140 -0.98 0.925 0
145 -0.9 0.755 0
150 -0.77 0.575 0
155 -0.67 0.42 0
160 -0.635 0.32 0
165 -0.68 0.23 0
170 -0.85 0.14 0
175 -0.66 0.055 0
180 0 0.025 0

Reynolds Number: 8.00e4 
BV Dyn. Stall Model - Positive Stall AOA (deg): 9
BV Dyn. Stall Model - Negative Stall AOA (deg): -9
LB Dyn. Stall Model - Lift Coeff. Slope at Zero Lift AOA (per radian): 5.094
LB Dyn. Stall Model - Positive Critical Lift Coeff.: 0.6606
LB Dyn. Stall Model - Negative Critical Lift Coeff.: -0.6606
AOA (deg) CL CD Cm25
-180 0 0.02 0
-175 0.66 0.055 0
-170 0.85 0.14 0
-165 0.68 0.23 0
-160 0.635 0.32 0
-155 0.67 0.42 0
-150 0.77 0.575 0
-145 0.9 0.755 0
-140 0.98 0.925 0
-135 0.93 1.085 0
-130 0.85 1.225 0
-125 0.76 1.35 0
-120 0.67 1.465 0
-115 0.575 1.555 0
-110 0.45 1.635 0
-105 0.32 1.7 0
-100 0.185 1.75 0
-95 0.05 1.78 0
-90 -0.09 1.8 0
-85 -0.23 1.8 0
-80 -0.365 1.78 0
-75 -0.5 1.735 0
-70 -0.63 1.665 0
-65 -0.76 1.575 0
-60 -0.875 1.47 0
-55 -0.955 1.345 0
-50 -1.02 1.215 0
-45 -1.05 1.075 0
-40 -1.035 0.92 0
-35 -0.98 0.745 0
-30 -0.855 0.57 0
-25 -0.5963 0.405 0
-22 -0.443 0.329 0
-20 -0.3472 0.282 0
-18 -0.2603 0.238 0
-16 -0.2027 0.196 0
-14 -0.2256 0.158 0
-12 -0.4408 0.08 0
