,,,,# Shear webs ->,0,# of stacks ->,2,Stack ID ->,1,2,Segment ID ->,1,10,DP Types,1,2,1,2
,,,,,,# of segments ->,2,Material ID ->,1,1,,,,,,,first entry in the CSV list is the exterior blade surface stack,
Sta.#,Blade span (m),Airfoil Shape File,TE Type,Twist (deg),Chord,xoffset,aero center,Section Label,Aluminum,Aluminum,-blank-,HP,LP,,,,HP,LP
1,0,circular,round,0,0.0635,0.5,0.5,,31,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
2,0.20175,circular,round,0,0.0635,0.5,0.5,,31,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
3,.4035,circular,round,0,0.0635,0.5,0.5,,31,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
4,.60525,circular,round,0,0.0635,0.5,0.5,,31,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
5,0.807,circular,round,0,0.0635,0.5,0.5,,31,0.00001,-1.0000,0.0000,1.0000,,,,"2,1","2,1"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
