04/10/97

Coordinates for the SNL airfoils:

	SNL 0015/47	SNL 0018/50	SNL 0021/50
	X	(Y	X	(Y	X	(Y
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00020	0.00166	0.00337	0.00646	0.00343	0.00790
0.00508	0.01091	0.01274	0.01431	0.01291	0.01728
0.01507	0.02060	0.02713	0.02282	0.02740	0.02735
0.02872	0.02867	0.04621	0.03160	0.04653	0.03771
0.04729	0.03615	0.06970	0.04042	0.07001	0.04806
0.07062	0.04329	0.09730	0.04903	0.09753	0.05814
0.09832	0.05006	0.12870	0.05726	0.12878	0.06772
0.13002	0.05630	0.16353	0.06491	0.16339	0.07660
0.16533	0.06192	0.20142	0.07183	0.20098	0.08460
0.20386	0.06678	0.24193	0.07786	0.24113	0.09152
0.24517	0.07080	0.28464	0.08283	0.28339	0.09721
0.28880	0.07383	0.32907	0.08663	0.32730	0.10149
0.33426	0.07575	0.37471	0.08908	0.37235	0.10417
0.38104	0.07643	0.42107	0.09000	0.41805	0.10507
0.42860	0.07556	0.46759	0.08902	0.46384	0.10379
0.47688	0.07272	0.51422	0.08561	0.50965	0.09968
0.52610	0.06808	0.56140	0.07982	0.55603	0.09272
0.57603	0.06216	0.60914	0.07234	0.60311	0.08368
0.62618	0.05535	0.65698	0.06379	0.65048	0.07323
0.67600	0.04801	0.70440	0.05462	0.69767	0.06193
0.72489	0.04046	0.75083	0.04535	0.74412	0.05037
0.77244	0.03306	0.79560	0.03642	0.78921	0.03911
0.81734	0.02608	0.83798	0.02827	0.83220	0.02869
0.85951	0.01979	0.87718	0.02125	0.87224	0.01959
0.89801	0.01441	0.91233	0.01562	0.90843	0.01217
0.93212	0.01005	0.94258	0.01150	0.93980	0.00663
0.96114	0.00676	0.96711	0.00881	0.96541	0.00296
0.98447	0.00448	0.98519	0.00740	0.98439	0.00095
0.99685	0.00349	0.99627	0.00687	0.99606	0.00015
1.00000	0.00000	1.00000	0.00678	1.00000	0.00000

The 18/50 was thickened up near the trailing edge so we could actually build it (we can't make a razor-edged extrusion).  Although we had to do a similar thing with the other two airfoils when we built models, I don't have those coordinates available.
